day,time,side,price,type,ret
2025-10-22,2025-10-22 10:00:00-04:00,short,260.36041750000004,entry,
2025-10-22,2025-10-22 16:00:00-04:00,short,258.50169,eod_exit,0.006639055613167631
2025-10-23,2025-10-23 10:00:00-04:00,short,258.308328,entry,
2025-10-23,2025-10-23 10:20:00-04:00,short,258.811752,stop_exit,-0.002448926710562717
2025-10-23,2025-10-23 11:55:00-04:00,long,260.40207000000004,entry,
2025-10-23,2025-10-23 15:55:00-04:00,long,259.578074,stop_exit,-0.0036643220040455987
2025-10-24,2025-10-24 09:50:00-04:00,short,259.25813800000003,entry,
2025-10-24,2025-10-24 10:15:00-04:00,short,260.642118,stop_exit,-0.0058382316585177015
2025-10-24,2025-10-24 10:50:00-04:00,long,262.107411,entry,
2025-10-24,2025-10-24 16:00:00-04:00,long,262.767436,eod_exit,0.0020181470355294983
2025-10-27,2025-10-27 10:05:00-04:00,long,266.738337,entry,
2025-10-27,2025-10-27 10:30:00-04:00,long,265.686852,stop_exit,-0.004442009280803207
2025-10-27,2025-10-27 15:15:00-04:00,long,266.668323,entry,
2025-10-27,2025-10-27 16:00:00-04:00,long,268.756238,eod_exit,0.007329632618194436
